System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_8NCORE_8KPAR_12018440_202512281308.OUTCAR,12018440,2025.12.28 13:08:14,1,64,64,1,13382681,8,8,1,640,11054.2797,30614.333
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_8NCORE_4KPAR_12018437_202512281029.OUTCAR,12018437,2025.12.28 10:30:00,1,64,64,1,8210120,4,8,2,640,5646.162,15601.334
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_64nodes_8192cores_1threads_4NCORE_2KPAR_12018477_202512281235.OUTCAR,12018477,2025.12.28 12:35:50,64,8192,8192,1,111926377,2,4,1024,1024,148.592,3763.246
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_64nodes_8192cores_1threads_4NCORE_4KPAR_12018480_202512281624.OUTCAR,12018480,2025.12.28 16:24:49,64,8192,8192,1,45963343,4,4,512,1024,244.3008,1455.709
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_4nodes_512cores_1threads_16NCORE_2KPAR_12018455_202512281727.OUTCAR,12018455,2025.12.28 17:27:39,4,512,512,1,3856534,2,16,16,640,725.3251,1970.818
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_32cores_1threads_8NCORE_4KPAR_12018426_202512281029.OUTCAR,12018426,2025.12.28 10:30:01,1,32,32,1,8852964,4,8,1,640,8538.7894,24752.444
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_64nodes_8192cores_1threads_16NCORE_4KPAR_12018482_202512281705.OUTCAR,12018482,2025.12.28 17:06:32,64,8192,8192,1,24576216,4,16,128,640,114.9391,768.92
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_16nodes_2048cores_1threads_16NCORE_2KPAR_12018467_202512281823.OUTCAR,12018467,2025.12.28 18:24:04,16,2048,2048,1,6365728,2,16,64,640,209.5913,774.362
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_4NCORE_2KPAR_12018431_202512281029.OUTCAR,12018431,2025.12.28 10:30:11,1,64,64,1,3987438,2,4,8,640,2706.1495,7477.028
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_16nodes_2048cores_1threads_8NCORE_4KPAR_12018469_202512281829.OUTCAR,12018469,2025.12.28 18:30:31,16,2048,2048,1,9902972,4,8,64,640,441.0473,1208.241
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_64nodes_8192cores_1threads_16NCORE_2KPAR_12018479_202512281424.OUTCAR,12018479,2025.12.28 14:25:05,64,8192,8192,1,37194763,2,16,256,768,90.9502,1183.036
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_8nodes_1024cores_1threads_4NCORE_2KPAR_12018459_202512281452.OUTCAR,12018459,2025.12.28 14:52:32,8,1024,1024,1,4292891,2,4,128,640,353.934,1074.387
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_32nodes_4096cores_1threads_16NCORE_4KPAR_12018476_202512281641.OUTCAR,12018476,2025.12.28 16:44:35,32,4096,4096,1,31630218,4,16,64,640,239.1959,2020.781
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_8nodes_1024cores_1threads_16NCORE_2KPAR_12018461_202512281738.OUTCAR,12018461,2025.12.28 17:38:24,8,1024,1024,1,4750070,2,16,32,640,385.2941,1117.832
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_8nodes_1024cores_1threads_16NCORE_4KPAR_12018464_202512281800.OUTCAR,12018464,2025.12.28 18:01:24,8,1024,1024,1,8501454,4,16,16,640,726.8997,1984.63
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_32cores_1threads_4NCORE_4KPAR_12018425_202512281029.OUTCAR,12018425,2025.12.28 10:29:58,1,32,32,1,8117593,4,4,2,640,7887.1808,22339.893
